url_path,views_total,views_unique
/jgphpc/SPH-EXA/actions/runs/14391915415,5,1
/jgphpc/SPH-EXA/actions/runs/14391915415/job/40371024203,2,1
/jgphpc/SPH-EXA/actions/runs/14391915415/workflow,2,1
/jgphpc/SPH-EXA/actions/workflows/clang-format.yml,2,1
/jgphpc/SPH-EXA,1,1
/jgphpc/SPH-EXA/actions/runs/14391915415/job/40360558597,1,1
/jgphpc/SPH-EXA/actions/runs/14391915415/job/40371949261,1,1
/jgphpc/SPH-EXA/actions/runs/14396100772,1,1
/jgphpc/SPH-EXA/actions/runs/14396100772/job/40371969764,1,1
/jgphpc/SPH-EXA/actions/runs/14413445084,1,1
